time,y_scalar,y_gain
2.47,0.63003063,1.26006126
2.48,0.6222335553,1.244467111
2.49,0.6143742578,1.228748516
2.5,0.6064535234,1.212907047
2.51,0.5984721441,1.196944288
2.52,0.5904309181,1.180861836
2.53,0.5823306495,1.164661299
2.54,0.5741721484,1.148344297
2.55,0.5659562304,1.131912461
2.56,0.5576837174,1.115367435
2.57,0.5493554364,1.098710873
2.58,0.5409722204,1.081944441
2.59,0.5325349076,1.065069815
2.6,0.5240443417,1.048088683
2.61,0.5155013718,1.031002744
2.62,0.5069068522,1.013813704
2.63,0.4982616424,0.9965232848
2.64,0.4895666068,0.9791332136
2.65,0.480822615,0.96164523
2.66,0.4720305413,0.9440610826
2.67,0.4631912649,0.9263825298
2.68,0.4543056698,0.9086113396
2.69,0.4453746445,0.890749289
2.7,0.4363990822,0.8727981644
2.71,0.4273798802,0.8547597604
2.72,0.4183179407,0.8366358814
2.73,0.4092141697,0.8184283394
2.74,0.4000694776,0.8001389552
2.75,0.3908847789,0.7817695578
2.76,0.3816609921,0.7633219842
2.77,0.3723990394,0.7447980788
2.78,0.3630998472,0.7261996944
2.79,0.3537643453,0.7075286906
2.8,0.3443934673,0.6887869346
2.81,0.3349881502,0.6699763004
2.82,0.3255493345,0.651098669
2.83,0.3160779642,0.6321559284
2.84,0.3065749864,0.6131499728
2.85,0.2970413513,0.5940827026
2.86,0.2874780123,0.5749560246
2.87,0.2778859258,0.5557718516
2.88,0.2682660509,0.5365321018
2.89,0.2586193497,0.5172386994
2.9,0.2489467867,0.4978935734
2.91,0.2392493292,0.4784986584
2.92,0.229527947,0.459055894
2.93,0.2197836122,0.4395672244
2.94,0.2100172993,0.4200345986
2.95,0.2002299847,0.4004599694
2.96,0.1904226474,0.3808452948
2.97,0.1805962679,0.3611925358
2.98,0.170751829,0.341503658
2.99,0.160890315,0.32178063
3,0.1510127121,0.3020254242
3.01,0.1411200081,0.2822400162
3.02,0.1312131922,0.2624263844
3.03,0.121293255,0.24258651
3.04,0.1113611887,0.2227223774
3.05,0.1014179863,0.2028359726
3.06,0.09146464223,0.1829292845
3.07,0.08150215176,0.1630043035
3.08,0.07153151114,0.1430630223
3.09,0.06155371743,0.1231074349
3.1,0.0515697684,0.1031395368
3.11,0.04158066243,0.08316132486
3.12,0.03158739844,0.06317479688
3.13,0.02159097573,0.04318195146
3.14,0.01159239394,0.02318478788
3.15,0.001592652916,0.003185305832
3.16,-0.008407247367,-0.01681449473
3.17,-0.01840630693,-0.03681261386
3.18,-0.02840352588,-0.05680705176
3.19,-0.03839790451,-0.07679580902
3.2,-0.04838844337,-0.09677688674
3.21,-0.05837414343,-0.1167482869
3.22,-0.06835400612,-0.1367080122
3.23,-0.07832703347,-0.1566540669
3.24,-0.08829222818,-0.1765844564
3.25,-0.09824859375,-0.1964971875
3.26,-0.1081951345,-0.216390269
3.27,-0.1181308559,-0.2362617118
3.28,-0.1280547643,-0.2561095286
3.29,-0.1379658673,-0.2759317346
3.3,-0.1478631738,-0.2957263476
3.31,-0.1577456941,-0.3154913882
3.32,-0.16761244,-0.33522488
3.33,-0.1774624248,-0.3549248496
3.34,-0.1872946635,-0.374589327
3.35,-0.1971081729,-0.3942163458
3.36,-0.2069019717,-0.4138039434
3.37,-0.2166750804,-0.4333501608
3.38,-0.2264265218,-0.4528530436
3.39,-0.2361553207,-0.4723106414
3.4,-0.2458605043,-0.4917210086
3.41,-0.255541102,-0.511082204
3.42,-0.2651961459,-0.5303922918
3.43,-0.2748246703,-0.5496493406
3.44,-0.2844257125,-0.568851425
3.45,-0.2939983124,-0.5879966248
3.46,-0.3035415127,-0.6070830254
3.47,-0.3130543591,-0.6261087182
3.48,-0.3225359003,-0.6450718006
3.49,-0.3319851882,-0.6639703764
3.5,-0.3414012779,-0.6828025558
3.51,-0.3507832277,-0.7015664554
3.52,-0.3601300995,-0.720260199
3.53,-0.3694409585,-0.738881917
3.54,-0.3787148738,-0.7574297476
3.55,-0.3879509179,-0.7759018358
3.56,-0.3971481673,-0.7942963346
3.57,-0.4063057021,-0.8126114042
3.58,-0.4154226068,-0.8308452136
3.59,-0.4244979695,-0.848995939
3.6,-0.4335308828,-0.8670617656
3.61,-0.4425204433,-0.8850408866
3.62,-0.4514657522,-0.9029315044
3.63,-0.4603659148,-0.9207318296
3.64,-0.4692200413,-0.9384400826
3.65,-0.4780272461,-0.9560544922
3.66,-0.4867866487,-0.9735732974
3.67,-0.4954973729,-0.9909947458
3.68,-0.5041585479,-1.008317096
3.69,-0.5127693074,-1.025538615
3.7,-0.5213287904,-1.042657581
3.71,-0.5298361409,-1.059672282
3.72,-0.5382905083,-1.076581017
3.73,-0.5466910471,-1.093382094
3.74,-0.5550369172,-1.110073834
3.75,-0.5633272841,-1.126654568
3.76,-0.5715613187,-1.143122637
3.77,-0.5797381977,-1.159476395
3.78,-0.5878571034,-1.175714207
3.79,-0.5959172238,-1.191834448
3.8,-0.603917753,-1.207835506
3.81,-0.6118578909,-1.223715782
3.82,-0.6197368436,-1.239473687
3.83,-0.6275538231,-1.255107646
3.84,-0.6353080477,-1.270616095
3.85,-0.6429987421,-1.285997484
3.86,-0.6506251371,-1.301250274
3.87,-0.6581864701,-1.31637294
3.88,-0.665681985,-1.33136397
3.89,-0.6731109323,-1.346221865
3.9,-0.6804725691,-1.360945138
3.91,-0.6877661592,-1.375532318
3.92,-0.6949909732,-1.389981946
3.93,-0.7021462887,-1.404292577
3.94,-0.7092313902,-1.41846278
3.95,-0.7162455691,-1.432491138
3.96,-0.7231881241,-1.446376248
3.97,-0.7300583608,-1.460116722
3.98,-0.7368555924,-1.473711185
3.99,-0.7435791389,-1.487158278
4,-0.7502283282,-1.500456656
4.01,-0.7568024953,-1.513604991
4.02,-0.7633009828,-1.526601966
4.03,-0.7697231408,-1.539446282
4.04,-0.7760683271,-1.552136654
4.05,-0.7823359072,-1.564671814
4.06,-0.7885252544,-1.577050509
4.07,-0.7946357498,-1.5892715
4.08,-0.8006667822,-1.601333564
4.09,-0.8066177486,-1.613235497
4.1,-0.8124880539,-1.624976108
4.11,-0.8182771111,-1.636554222
4.12,-0.8239843412,-1.647968682
4.13,-0.8296091736,-1.659218347
4.14,-0.8351510458,-1.670302092
4.15,-0.8406094036,-1.681218807
4.16,-0.8459837011,-1.691967402
4.17,-0.8512734009,-1.702546802
4.18,-0.8564779742,-1.712955948
4.19,-0.8615969003,-1.723193801
4.2,-0.8666296675,-1.733259335
4.21,-0.8715757724,-1.743151545
4.22,-0.8764347205,-1.752869441
4.23,-0.8812060258,-1.762412052
4.24,-0.8858892113,-1.771778423
4.25,-0.8904838086,-1.780967617
4.26,-0.8949893582,-1.789978716
4.27,-0.8994054097,-1.798810819
