time,x,u
1.08,0.5258980524,0.228776589
1.09,0.5229416444,0.228776589
1.1,0.5200146532,0.228776589
1.11,0.5170288602,0.219939962
1.12,0.5140727763,0.219939962
1.13,0.5111461059,0.219939962
1.14,0.5082485563,0.219939962
1.15,0.5053798379,0.219939962
1.16,0.5025396637,0.219939962
1.17,0.4997277497,0.219939962
1.18,0.4969438147,0.219939962
1.19,0.4941875803,0.219939962
1.2,0.4914587709,0.219939962
1.21,0.4886770288,0.211891368
1.22,0.4859229654,0.211891368
1.23,0.4831963055,0.211891368
1.24,0.4804967763,0.211891368
1.25,0.4778241078,0.211891368
1.26,0.4751780328,0.211891368
1.27,0.4725582867,0.211891368
1.28,0.4699646076,0.211891368
1.29,0.4673967359,0.211891368
1.3,0.464854415,0.211891368
1.31,0.4622643584,0.2045515627
1.32,0.4597000733,0.2045515627
1.33,0.4571613032,0.2045515627
1.34,0.4546477943,0.2045515627
1.35,0.4521592952,0.2045515627
1.36,0.4496955571,0.2045515627
1.37,0.4472563336,0.2045515627
1.38,0.4448413807,0.2045515627
1.39,0.4424504571,0.2045515627
1.4,0.4400833236,0.2045515627
1.41,0.4376730565,0.1978494674
1.42,0.4352867719,0.1978494674
1.43,0.4329242312,0.1978494674
1.44,0.4305851982,0.1978494674
1.45,0.428269439,0.1978494674
1.46,0.425976722,0.1978494674
1.47,0.4237068179,0.1978494674
1.48,0.4214594997,0.1978494674
1.49,0.4192345427,0.1978494674
1.5,0.4170317244,0.1978494674
1.51,0.4147898497,0.1917214394
1.52,0.4125702819,0.1917214394
1.53,0.4103727992,0.1917214394
1.54,0.4081971818,0.1917214394
1.55,0.4060432122,0.1917214394
1.56,0.4039106749,0.1917214394
1.57,0.4017993567,0.1917214394
1.58,0.3997090465,0.1917214394
1.59,0.3976395353,0.1917214394
1.6,0.395590616,0.1917214394
1.61,0.3935062577,0.1861108691
1.62,0.3914426391,0.1861108691
1.63,0.3893995539,0.1861108691
1.64,0.3873767977,0.1861108691
1.65,0.3853741682,0.1861108691
1.66,0.3833914653,0.1861108691
1.67,0.3814284905,0.1861108691
1.68,0.3794850477,0.1861108691
1.69,0.3775609425,0.1861108691
1.7,0.3756559824,0.1861108691
1.71,0.3737187992,0.1809674501
1.72,0.3718008912,0.1809674501
1.73,0.3699020668,0.1809674501
1.74,0.3680221359,0.1809674501
1.75,0.3661609107,0.1809674501
1.76,0.364318205,0.1809674501
1.77,0.3624938345,0.1809674501
1.78,0.3606876168,0.1809674501
1.79,0.3588993713,0.1809674501
1.8,0.3571289191,0.1809674501
1.81,0.3553291074,0.176246345
1.82,0.3535472042,0.176246345
1.83,0.3517830311,0.176246345
1.84,0.3500364119,0.176246345
1.85,0.3483071719,0.176246345
1.86,0.346595138,0.176246345
1.87,0.3449001392,0.176246345
1.88,0.3432220059,0.176246345
1.89,0.3415605703,0.176246345
1.9,0.3399156663,0.176246345
1.91,0.3382439618,0.1719079614
1.92,0.3365888909,0.1719079614
1.93,0.3349502883,0.1719079614
1.94,0.33332799,0.1719079614
1.95,0.3317218339,0.1719079614
1.96,0.3301316593,0.1719079614
1.97,0.3285573072,0.1719079614
1.98,0.3269986202,0.1719079614
1.99,0.3254554423,0.1719079614
2,0.3239276194,0.1719079614
2.01,0.3223752872,0.1679169387
2.02,0.3208384009,0.1679169387
2.03,0.319316807,0.1679169387
2.04,0.3178103531,0.1679169387
2.05,0.3163188887,0.1679169387
2.06,0.3148422646,0.1679169387
2.07,0.3133803332,0.1679169387
2.08,0.3119329483,0.1679169387
