time,y_real,y_int,y_bool,y_over
3.07,0.1630043035,3,0,0
3.08,0.1430630223,3,0,0
3.09,0.1231074349,3,0,0
3.1,0.1031395368,3,0,0
3.11,0.08316132486,3,0,0
3.12,0.06317479688,3,0,0
3.13,0.04318195146,3,0,0
3.14,0.02318478788,3,0,0
3.15,0.003185305832,3,0,0
3.16,-0.01681449473,3,1,0
3.17,-0.03681261386,3,1,0
3.18,-0.05680705176,3,1,0
3.19,-0.07679580902,3,1,0
3.2,-0.09677688674,3,1,0
3.21,-0.1167482869,3,1,0
3.22,-0.1367080122,3,1,0
3.23,-0.1566540669,3,1,0
3.24,-0.1765844564,3,1,0
3.25,-0.1964971875,3,1,0
3.26,-0.216390269,3,1,0
3.27,-0.2362617118,3,1,0
3.28,-0.2561095286,3,1,0
3.29,-0.2759317346,3,1,0
3.3,-0.2957263476,3,1,0
3.31,-0.3154913882,3,1,0
3.32,-0.33522488,3,1,0
3.33,-0.3549248496,3,1,0
3.34,-0.374589327,3,1,0
3.35,-0.3942163458,3,1,0
3.36,-0.4138039434,3,1,0
3.37,-0.4333501608,3,1,0
3.38,-0.4528530436,3,1,0
3.39,-0.4723106414,3,1,0
3.4,-0.4917210086,3,1,0
3.41,-0.511082204,3,1,0
3.42,-0.5303922918,3,1,0
3.43,-0.5496493406,3,1,0
3.44,-0.568851425,3,1,0
3.45,-0.5879966248,3,1,0
3.46,-0.6070830254,3,1,0
3.47,-0.6261087182,3,1,0
3.48,-0.6450718006,3,1,0
3.49,-0.6639703764,3,1,0
3.5,-0.6828025558,3,1,0
3.51,-0.7015664554,3,1,0
3.52,-0.720260199,3,1,0
3.53,-0.738881917,3,1,0
3.54,-0.7574297476,3,1,0
3.55,-0.7759018358,3,1,0
3.56,-0.7942963346,3,1,0
3.57,-0.8126114042,3,1,0
3.58,-0.8308452136,3,1,0
3.59,-0.848995939,3,1,0
3.6,-0.8670617656,3,1,0
3.61,-0.8850408866,3,1,0
3.62,-0.9029315044,3,1,0
3.63,-0.9207318296,3,1,0
3.64,-0.9384400826,3,1,0
3.65,-0.9560544922,3,1,0
3.66,-0.9735732974,3,1,0
3.67,-0.9909947458,3,1,0
3.68,-1.008317096,3,1,0
3.69,-1.025538615,3,1,0
3.7,-1.042657581,3,1,0
3.71,-1.059672282,3,1,0
3.72,-1.076581017,3,1,0
3.73,-1.093382094,3,1,0
3.74,-1.110073834,3,1,0
3.75,-1.126654568,3,1,0
3.76,-1.143122637,3,1,0
3.77,-1.159476395,3,1,0
3.78,-1.175714207,3,1,0
3.79,-1.191834448,3,1,0
3.8,-1.207835506,3,1,0
3.81,-1.223715782,3,1,0
3.82,-1.239473687,3,1,0
3.83,-1.255107646,3,1,0
3.84,-1.270616095,3,1,0
3.85,-1.285997484,3,1,0
3.86,-1.301250274,3,1,0
3.87,-1.31637294,3,1,0
3.88,-1.33136397,3,1,0
3.89,-1.346221865,3,1,0
3.9,-1.360945138,3,1,0
3.91,-1.375532318,3,1,0
3.92,-1.389981946,3,1,0
3.93,-1.404292577,3,1,0
3.94,-1.41846278,3,1,0
3.95,-1.432491138,3,1,0
3.96,-1.446376248,3,1,0
3.97,-1.460116722,3,1,0
3.98,-1.473711185,3,1,0
3.99,-1.487158278,3,1,0
4,-1.500456656,3,1,0
4.01,-1.513604991,4,1,0
4.02,-1.526601966,4,1,0
4.03,-1.539446282,4,1,0
4.04,-1.552136654,4,1,0
4.05,-1.564671814,4,1,0
4.06,-1.577050509,4,1,0
4.07,-1.5892715,4,1,0
4.08,-1.601333564,4,1,0
4.09,-1.613235497,4,1,0
4.1,-1.624976108,4,1,0
4.11,-1.636554222,4,1,0
4.12,-1.647968682,4,1,0
4.13,-1.659218347,4,1,0
4.14,-1.670302092,4,1,0
4.15,-1.681218807,4,1,0
4.16,-1.691967402,4,1,0
4.17,-1.702546802,4,1,0
4.18,-1.712955948,4,1,0
4.19,-1.723193801,4,1,0
4.2,-1.733259335,4,1,0
4.21,-1.743151545,4,1,0
4.22,-1.752869441,4,1,0
4.23,-1.762412052,4,1,0
4.24,-1.771778423,4,1,0
4.25,-1.780967617,4,1,0
4.26,-1.789978716,4,1,0
4.27,-1.798810819,4,1,0
4.28,-1.807463043,4,1,0
4.29,-1.815934521,4,1,0
4.3,-1.824224408,4,1,0
4.31,-1.832331873,4,1,0
4.32,-1.840256108,4,1,0
4.33,-1.847996317,4,1,0
4.34,-1.855551729,4,1,0
4.35,-1.862921588,4,1,0
4.36,-1.870105155,4,1,0
4.37,-1.877101714,4,1,0
4.38,-1.883910564,4,1,0
4.39,-1.890531024,4,1,0
4.4,-1.896962433,4,1,0
4.41,-1.903204148,4,1,0
4.42,-1.909255543,4,1,0
4.43,-1.915116015,4,1,0
4.44,-1.920784976,4,1,0
4.45,-1.926261861,4,1,0
4.46,-1.931546121,4,1,0
4.47,-1.936637228,4,1,0
4.48,-1.941534673,4,1,0
4.49,-1.946237966,4,1,0
4.5,-1.950746637,4,1,0
4.51,-1.955060235,4,1,0
4.52,-1.959178329,4,1,0
4.53,-1.963100506,4,1,0
4.54,-1.966826375,4,1,0
4.55,-1.970355563,4,1,0
4.56,-1.973687717,4,1,0
4.57,-1.976822504,4,1,0
4.58,-1.97975961,4,1,0
4.59,-1.982498742,4,1,0
4.6,-1.985039626,4,1,0
4.61,-1.987382007,4,1,0
4.62,-1.989525652,4,1,0
4.63,-1.991470346,4,1,0
4.64,-1.993215895,4,1,0
4.65,-1.994762123,4,1,0
4.66,-1.996108878,4,1,0
4.67,-1.997256022,4,1,0
4.68,-1.998203443,4,1,0
4.69,-1.998951046,4,1,0
4.7,-1.999498754,4,1,0
4.71,-1.999846515,4,1,0
4.72,-1.999994293,4,1,0
4.73,-1.999942073,4,1,0
4.74,-1.99968986,4,1,0
4.75,-1.99923768,4,1,0
4.76,-1.998585578,4,1,0
4.77,-1.997733619,4,1,0
4.78,-1.996681888,4,1,0
4.79,-1.995430491,4,1,0
4.8,-1.993979553,4,1,0
4.81,-1.992329218,4,1,0
4.82,-1.990479652,4,1,0
4.83,-1.988431039,4,1,0
4.84,-1.986183585,4,1,0
4.85,-1.983737515,4,1,0
4.86,-1.981093072,4,1,0
4.87,-1.978250522,4,1,0
4.88,-1.975210148,4,1,0
4.89,-1.971972255,4,1,0
4.9,-1.968537166,4,1,0
4.91,-1.964905225,4,1,0
4.92,-1.961076796,4,1,0
4.93,-1.95705226,4,1,0
4.94,-1.952832021,4,1,0
4.95,-1.9484165,4,1,0
4.96,-1.943806139,4,1,0
4.97,-1.939001399,4,1,0
4.98,-1.93400276,4,1,0
4.99,-1.928810723,4,1,0
5,-1.923425807,4,1,0
5.01,-1.917848549,5,1,0
5.02,-1.912079509,5,1,0
5.03,-1.906119261,5,1,0
5.04,-1.899968404,5,1,0
5.05,-1.893627551,5,1,0
5.06,-1.887097337,5,1,0
5.07,-1.880378415,5,1,0
5.08,-1.873471457,5,1,0
5.09,-1.866377153,5,1,0
5.1,-1.859096213,5,1,0
5.11,-1.851629365,5,1,0
5.12,-1.843977355,5,1,0
5.13,-1.836140949,5,1,0
5.14,-1.828120931,5,1,0
5.15,-1.819918102,5,1,0
5.16,-1.811533283,5,1,0
5.17,-1.802967312,5,1,0
5.18,-1.794221046,5,1,0
5.19,-1.785295359,5,1,0
5.2,-1.776191144,5,1,0
5.21,-1.766909311,5,1,0
5.22,-1.757450789,5,1,0
5.23,-1.747816524,5,1,0
5.24,-1.738007478,5,1,0
5.25,-1.728024633,5,1,0
5.26,-1.717868987,5,1,0
5.27,-1.707541555,5,1,0
5.28,-1.697043371,5,1,0
5.29,-1.686375484,5,1,0
5.3,-1.67553896,5,1,0
5.31,-1.664534884,5,1,0
5.32,-1.653364356,5,1,0
5.33,-1.642028493,5,1,0
5.34,-1.630528429,5,1,0
5.35,-1.618865313,5,1,0
5.36,-1.607040312,5,1,0
5.37,-1.595054608,5,1,0
5.38,-1.5829094,5,1,0
5.39,-1.570605902,5,1,0
5.4,-1.558145345,5,1,0
5.41,-1.545528975,5,1,0
5.42,-1.532758053,5,1,0
5.43,-1.519833857,5,1,0
5.44,-1.506757679,5,1,0
5.45,-1.493530826,5,1,0
5.46,-1.480154621,5,1,0
5.47,-1.466630402,5,1,0
5.48,-1.452959521,5,1,0
5.49,-1.439143346,5,1,0
5.5,-1.425183257,5,1,0
5.51,-1.411080651,5,1,0
5.52,-1.396836938,5,1,0
5.53,-1.382453543,5,1,0
5.54,-1.367931904,5,1,0
5.55,-1.353273472,5,1,0
5.56,-1.338479715,5,1,0
5.57,-1.32355211,5,1,0
5.58,-1.308492151,5,1,0
5.59,-1.293301345,5,1,0
5.6,-1.277981209,5,1,0
5.61,-1.262533276,5,1,0
5.62,-1.246959091,5,1,0
5.63,-1.231260211,5,1,0
5.64,-1.215438205,5,1,0
5.65,-1.199494658,5,1,0
5.66,-1.183431161,5,1,0
5.67,-1.167249323,5,1,0
5.68,-1.15095076,5,1,0
5.69,-1.134537104,5,1,0
5.7,-1.118009995,5,1,0
5.71,-1.101371085,5,1,0
5.72,-1.08462204,5,1,0
5.73,-1.067764533,5,1,0
5.74,-1.05080025,5,1,0
5.75,-1.033730889,5,1,0
5.76,-1.016558155,5,1,0
5.77,-0.9992837662,5,1,0
5.78,-0.98190945,5,1,0
5.79,-0.9644369434,5,1,0
5.8,-0.9468679942,5,1,0
5.81,-0.9292043588,5,1,0
5.82,-0.9114478038,5,1,0
5.83,-0.8936001048,5,1,0
5.84,-0.8756630466,5,1,0
5.85,-0.8576384226,5,1,0
5.86,-0.8395280356,5,1,0
5.87,-0.8213336966,5,1,0
5.88,-0.8030572248,5,1,0
5.89,-0.784700448,5,1,0
5.9,-0.7662652018,5,1,0
5.91,-0.7477533296,5,1,0
5.92,-0.7291666828,5,1,0
5.93,-0.71050712,5,1,0
5.94,-0.691776507,5,1,0
5.95,-0.672976717,5,1,0
5.96,-0.6541096298,5,1,0
5.97,-0.6351771322,5,1,0
5.98,-0.6161811174,5,1,0
5.99,-0.597123485,5,1,0
6,-0.5780061408,5,1,0
6.01,-0.5588309964,6,1,0
6.02,-0.5395999694,6,1,0
6.03,-0.5203149828,6,1,0
6.04,-0.5009779652,6,1,0
6.05,-0.4815908502,6,1,0
6.06,-0.4621555766,6,1,0
6.07,-0.4426740878,6,1,0
6.08,-0.4231483318,6,1,0
6.09,-0.4035802616,6,1,0
6.1,-0.3839718334,6,1,0
6.11,-0.3643250086,6,1,0
6.12,-0.3446417514,6,1,0
6.13,-0.3249240304,6,1,0
6.14,-0.3051738172,6,1,0
6.15,-0.285393087,6,1,0
6.16,-0.2655838178,6,1,0
6.17,-0.2457479902,6,1,0
6.18,-0.2258875882,6,1,0
6.19,-0.2060045974,6,1,0
6.2,-0.1861010065,6,1,0
6.21,-0.1661788056,6,1,0
6.22,-0.146239987,6,1,0
6.23,-0.1262865445,6,1,0
6.24,-0.1063204734,6,1,0
6.25,-0.08634377042,6,1,0
6.26,-0.0663584331,6,1,0
6.27,-0.04636645998,6,1,0
6.28,-0.02636985026,6,1,0
6.29,-0.006370603586,6,1,0
6.3,0.01362928015,6,0,0
6.31,0.03362780096,6,0,0
6.32,0.05362295904,6,0,0
6.33,0.07361275486,6,0,0
6.34,0.09359518946,6,0,0
6.35,0.1135682646,6,0,0
6.36,0.133529983,6,0,0
6.37,0.1534783486,6,0,0
6.38,0.1734113664,6,0,0
6.39,0.1933270433,6,0,0
6.4,0.2132233876,6,0,0
6.41,0.2330984098,6,0,0
6.42,0.2529501222,6,0,0
6.43,0.2727765398,6,0,0
6.44,0.2925756802,6,0,0
6.45,0.312345563,6,0,0
6.46,0.3320842118,6,0,0
6.47,0.3517896522,6,0,0
6.48,0.371459914,6,0,0
6.49,0.3910930302,6,0,0
6.5,0.4106870374,6,0,0
6.51,0.4302399762,6,0,0
6.52,0.4497498914,6,0,0
6.53,0.4692148318,6,0,0
6.54,0.4886328514,6,0,0
6.55,0.508002008,6,0,0
6.56,0.5273203648,6,0,0
6.57,0.54658599,6,0,0
6.58,0.565796957,6,0,0
6.59,0.5849513448,6,0,0
6.6,0.604047238,6,0,0
6.61,0.623082727,6,0,0
6.62,0.6420559082,6,0,0
6.63,0.6609648844,6,0,0
6.64,0.6798077646,6,0,0
6.65,0.6985826646,6,0,0
6.66,0.717287707,6,0,0
6.67,0.7359210212,6,0,0
6.68,0.7544807438,6,0,0
6.69,0.772965019,6,0,0
6.7,0.7913719984,6,0,0
6.71,0.8096998412,6,0,0
6.72,0.8279467148,6,0,0
6.73,0.8461107942,6,0,0
6.74,0.8641902634,6,0,0
6.75,0.8821833144,6,0,0
6.76,0.9000881476,6,0,0
6.77,0.9179029728,6,0,0
6.78,0.9356260084,6,0,0
6.79,0.9532554822,6,0,0
6.8,0.9707896314,6,0,0
6.81,0.9882267022,6,0,0
6.82,1.005564951,6,0,1
6.83,1.022802645,6,0,1
6.84,1.039938059,6,0,1
6.85,1.05696948,6,0,1
6.86,1.073895205,6,0,1
6.87,1.090713541,6,0,1
6.88,1.107422807,6,0,1
6.89,1.124021332,6,0,1
6.9,1.140507455,6,0,1
6.91,1.156879529,6,0,1
6.92,1.173135915,6,0,1
6.93,1.189274989,6,0,1
6.94,1.205295137,6,0,1
