time,T,heater
5.56,50.55307016,1
5.57,50.60018692,1
5.58,50.64706868,1
5.59,50.69371662,1
5.6,50.74013191,1
5.61,50.78631569,1
5.62,50.83226913,1
5.63,50.87799338,1
5.64,50.92348958,1
5.65,50.96875886,1
5.66,50.95245852,0
5.67,50.79808249,0
5.68,50.64447641,0
5.69,50.49163644,0
5.7,50.33955877,0
5.71,50.18823959,0
5.72,50.03767512,0
5.73,49.88786159,0
5.74,49.73879526,0
5.75,49.5904724,0
5.76,49.4428893,0
5.77,49.29604228,0
5.78,49.14992766,0
5.79,49.00454179,0
5.8,49.05314857,1
5.81,49.10774622,1
5.82,49.16207157,1
5.83,49.21612596,1
5.84,49.26991076,1
5.85,49.3234273,1
5.86,49.37667693,1
5.87,49.42966097,1
5.88,49.48238076,1
5.89,49.5348376,1
5.9,49.58703282,1
5.91,49.63896771,1
5.92,49.69064357,1
5.93,49.7420617,1
5.94,49.79322338,1
5.95,49.84412989,1
5.96,49.89478251,1
5.97,49.94518249,1
5.98,49.9953311,1
5.99,50.0452296,1
6,50.09487922,1
6.01,50.14428122,1
6.02,50.19343682,1
6.03,50.24234726,1
6.04,50.29101375,1
6.05,50.33943752,1
6.06,50.38761978,1
6.07,50.43556173,1
6.08,50.48326456,1
6.09,50.53072948,1
6.1,50.57795766,1
6.11,50.62495029,1
6.12,50.67170855,1
6.13,50.7182336,1
6.14,50.7645266,1
6.15,50.81058872,1
6.16,50.8564211,1
6.17,50.90202489,1
6.18,50.94740123,1
6.19,50.99255125,1
6.2,50.8709157,0
6.21,50.71694636,0
6.22,50.56374495,0
6.23,50.41130764,0
6.24,50.25963061,0
6.25,50.10871007,0
6.26,49.95854225,0
6.27,49.8091234,0
6.28,49.66044978,0
6.29,49.51251767,0
6.3,49.36532337,0
6.31,49.21886321,0
6.32,49.07313352,0
6.33,49.02726078,1
6.34,49.08198755,1
6.35,49.13644136,1
6.36,49.19062359,1
6.37,49.24453558,1
6.38,49.29817868,1
6.39,49.35155424,1
6.4,49.40466358,1
6.41,49.45750804,1
6.42,49.51008894,1
6.43,49.56240759,1
6.44,49.6144653,1
6.45,49.66626337,1
6.46,49.7178031,1
6.47,49.76908577,1
6.48,49.82011266,1
6.49,49.87088506,1
6.5,49.92140424,1
6.51,49.97167144,1
6.52,50.02168794,1
6.53,50.07145498,1
6.54,50.1209738,1
6.55,50.17024565,1
6.56,50.21927176,1
6.57,50.26805334,1
6.58,50.31659163,1
6.59,50.36488783,1
6.6,50.41294315,1
6.61,50.4607588,1
6.62,50.50833596,1
6.63,50.55567583,1
6.64,50.6027796,1
6.65,50.64964843,1
6.66,50.6962835,1
6.67,50.74268598,1
6.68,50.78885703,1
6.69,50.83479779,1
6.7,50.88050943,1
6.71,50.92599308,1
6.72,50.97124988,1
6.73,50.94392115,0
6.74,50.7895877,0
6.75,50.63602399,0
6.76,50.48322618,0
6.77,50.33119045,0
6.78,50.17991301,0
6.79,50.02939007,0
6.8,49.87961786,0
6.81,49.73059264,0
6.82,49.58231069,0
6.83,49.4347683,0
6.84,49.28796178,0
6.85,49.14188747,0
6.86,49.00131177,1
6.87,49.05616796,1
6.88,49.11075055,1
6.89,49.16506091,1
6.9,49.21910039,1
6.91,49.27287035,1
6.92,49.32637213,1
6.93,49.37960707,1
6.94,49.4325765,1
6.95,49.48528175,1
6.96,49.53772413,1
6.97,49.58990494,1
6.98,49.64182551,1
6.99,49.69348712,1
7,49.74489107,1
7.01,49.79603864,1
7.02,49.84693111,1
7.03,49.89756975,1
7.04,49.94795583,1
7.05,49.99809061,1
7.06,50.04797534,1
7.07,50.09761127,1
7.08,50.14699964,1
7.09,50.19614168,1
7.1,50.24503863,1
7.11,50.29369171,1
7.12,50.34210212,1
7.13,50.39027109,1
7.14,50.43819981,1
7.15,50.48588949,1
7.16,50.53334131,1
7.17,50.58055647,1
7.18,50.62753614,1
7.19,50.6742815,1
7.2,50.72079371,1
7.21,50.76707395,1
7.22,50.81312336,1
7.23,50.8589431,1
7.24,50.90453431,1
7.25,50.94989813,1
7.26,50.9950357,1
7.27,50.86240082,0
7.28,50.70847395,0
7.29,50.5553148,0
7.3,50.40291953,0
7.31,50.25128434,0
7.32,50.10040543,0
7.33,49.95027903,0
7.34,49.80090139,0
7.35,49.65226877,0
7.36,49.50437746,0
7.37,49.35722377,0
7.38,49.210804,0
7.39,49.06511451,0
7.4,49.03028731,1
7.41,49.08499898,1
7.42,49.13943777,1
7.43,49.19360505,1
7.44,49.24750217,1
7.45,49.30113048,1
7.46,49.35449131,1
7.47,49.40758601,1
7.48,49.46041589,1
7.49,49.51298229,1
7.5,49.56528651,1
7.51,49.61732986,1
7.52,49.66911364,1
7.53,49.72063915,1
7.54,49.77190768,1
7.55,49.8229205,1
7.56,49.8736789,1
7.57,49.92418413,1
7.58,49.97443748,1
7.59,50.02444018,1
7.6,50.07419349,1
7.61,50.12369866,1
7.62,50.17295691,1
7.63,50.2219695,1
7.64,50.27073763,1
7.65,50.31926253,1
7.66,50.36754541,1
7.67,50.41558747,1
7.68,50.46338993,1
7.69,50.51095397,1
7.7,50.55828079,1
7.71,50.60537156,1
7.72,50.65222746,1
7.73,50.69884967,1
7.74,50.74523935,1
7.75,50.79139766,1
7.76,50.83732576,1
7.77,50.88302479,1
7.78,50.92849589,1
7.79,50.97374021,1
7.8,50.93538613,0
7.81,50.78109525,0
7.82,50.6275739,0
7.83,50.47481823,0
7.84,50.32282444,0
7.85,50.17158873,0
7.86,50.0211073,0
7.87,49.8713764,0
7.88,49.72239229,0
7.89,49.57415124,0
7.9,49.42664955,0
7.91,49.27988352,0
7.92,49.13384949,0
7.93,49.00434545,1
7.94,49.05918651,1
7.95,49.11375404,1
7.96,49.16804942,1
7.97,49.222074,1
7.98,49.27582913,1
7.99,49.32931615,1
8,49.38253641,1
8.01,49.43549123,1
8.02,49.48818194,1
8.03,49.54060985,1
8.04,49.59277628,1
8.05,49.64468252,1
8.06,49.69632988,1
8.07,49.74771965,1
8.08,49.79885311,1
8.09,49.84973155,1
8.1,49.90035622,1
8.11,49.95072841,1
8.12,50.00084936,1
8.13,50.05072033,1
8.14,50.10034257,1
8.15,50.14971732,1
8.16,50.19884581,1
8.17,50.24772927,1
8.18,50.29636892,1
8.19,50.34476598,1
8.2,50.39292166,1
8.21,50.44083716,1
8.22,50.48851369,1
8.23,50.53595242,1
8.24,50.58315456,1
8.25,50.63012127,1
8.26,50.67685374,1
8.27,50.72335312,1
8.28,50.76962059,1
8.29,50.8156573,1
8.3,50.8614644,1
8.31,50.90704304,1
8.32,50.95239435,1
8.33,50.99751947,1
8.34,50.85388829,0
8.35,50.70000388,0
8.36,50.54688697,0
8.37,50.39453373,0
8.38,50.24294037,0
8.39,50.09210307,0
8.4,49.94201808,0
8.41,49.79268164,0
8.42,49.64409002,0
8.43,49.49623951,0
8.44,49.3491264,0
8.45,49.20274702,0
8.46,49.05709771,0
8.47,49.03331299,1
8.48,49.08800957,1
8.49,49.14243335,1
8.5,49.19658569,1
8.51,49.25046795,1
8.52,49.30408146,1
8.53,49.35742758,1
8.54,49.41050763,1
8.55,49.46332294,1
8.56,49.51587484,1
8.57,49.56816463,1
8.58,49.62019363,1
8.59,49.67196313,1
8.6,49.72347443,1
8.61,49.77472881,1
8.62,49.82572756,1
8.63,49.87647196,1
8.64,49.92696327,1
8.65,49.97720275,1
8.66,50.02719166,1
8.67,50.07693125,1
8.68,50.12642276,1
8.69,50.17566743,1
8.7,50.22466649,1
8.71,50.27342117,1
8.72,50.32193269,1
8.73,50.37020225,1
8.74,50.41823106,1
8.75,50.46602034,1
8.76,50.51357126,1
8.77,50.56088502,1
8.78,50.6079628,1
8.79,50.65480578,1
8.8,50.70141513,1
8.81,50.74779202,1
8.82,50.7939376,1
8.83,50.83985303,1
8.84,50.88553945,1
8.85,50.93099801,1
8.86,50.97622985,1
8.87,50.92685347,0
8.88,50.77260515,0
8.89,50.61912614,0
8.9,50.46641261,0
8.91,50.31446074,0
8.92,50.16326674,0
8.93,50.01282682,0
8.94,49.86313722,0
8.95,49.7141942,0
8.96,49.56599404,0
8.97,49.41853303,0
8.98,49.27180748,0
8.99,49.12581373,0
9,49.00737829,1
9.01,49.06220422,1
9.02,49.11675671,1
9.03,49.17103711,1
9.04,49.22504679,1
9.05,49.27878709,1
9.06,49.33225936,1
9.07,49.38546494,1
9.08,49.43840516,1
9.09,49.49108133,1
9.1,49.54349478,1
9.11,49.59564682,1
9.12,49.64753875,1
9.13,49.69917186,1
9.14,49.75054746,1
9.15,49.80166682,1
9.16,49.85253121,1
9.17,49.90314193,1
9.18,49.95350022,1
9.19,50.00360734,1
9.2,50.05346456,1
9.21,50.10307311,1
9.22,50.15243424,1
9.23,50.20154918,1
9.24,50.25041916,1
9.25,50.29904539,1
9.26,50.34742911,1
9.27,50.39557151,1
9.28,50.44347379,1
9.29,50.49113717,1
9.3,50.53856282,1
9.31,50.58575193,1
9.32,50.63270569,1
9.33,50.67942526,1
9.34,50.72591183,1
9.35,50.77216653,1
9.36,50.81819054,1
9.37,50.86398501,1
9.38,50.90955107,1
9.39,50.95488988,1
9.4,50.99999121,0
9.41,50.84537811,0
9.42,50.69153614,0
9.43,50.53846146,0
9.44,50.38615025,0
9.45,50.2345987,0
9.46,50.08380301,0
9.47,49.93375941,0
9.48,49.78446416,0
9.49,49.63591353,0
9.5,49.48810379,0
9.51,49.34103126,0
9.52,49.19469226,0
9.53,49.04908312,0
