time,amp_i,speed_w_rel
4.39,4.798367318,157.125254
4.4,4.785293551,157.3491212
4.41,4.772257354,157.5723134
4.42,4.759258651,157.7948323
4.43,4.746297364,158.0166801
4.44,4.733373416,158.2378586
4.45,4.72048673,158.4583697
4.46,4.707637228,158.6782154
4.47,4.694824831,158.8973976
4.48,4.68204946,159.1159182
4.49,4.669311036,159.3337792
4.5,4.65660948,159.5509824
4.51,4.643944712,159.7675297
4.52,4.631316652,159.9834231
4.53,4.61872522,160.1986645
4.54,4.606170334,160.4132557
4.55,4.593651915,160.6271987
4.56,4.58116988,160.8404953
4.57,4.568724149,161.0531474
4.58,4.556314639,161.2651569
4.59,4.543941269,161.4765256
4.6,4.531603957,161.6872555
4.61,4.51930262,161.8973484
4.62,4.507037175,162.1068061
4.63,4.49480754,162.3156305
4.64,4.482613632,162.5238235
4.65,4.470455367,162.7313869
4.66,4.458332663,162.9383225
4.67,4.446245435,163.1446323
4.68,4.434193601,163.3503179
4.69,4.422177075,163.5553813
4.7,4.410195774,163.7598243
4.71,4.398249615,163.9636487
4.72,4.386338512,164.1668563
4.73,4.374462381,164.369449
4.74,4.362621138,164.5714285
4.75,4.350814698,164.7727966
4.76,4.339042976,164.9735551
4.77,4.327305888,165.1737059
4.78,4.315603349,165.3732507
4.79,4.303935272,165.5721914
4.8,4.292301574,165.7705296
4.81,4.28070217,165.9682672
4.82,4.269136973,166.1654059
4.83,4.257605899,166.3619475
4.84,4.246108861,166.5578938
4.85,4.234645776,166.7532466
4.86,4.223216557,166.9480075
4.87,4.211821118,167.1421784
4.88,4.200459375,167.3357609
4.89,4.189131241,167.5287569
4.9,4.177836631,167.7211681
4.91,4.166575459,167.9129961
4.92,4.15534764,168.1042427
4.93,4.144153088,168.2949097
4.94,4.132991717,168.4849988
4.95,4.121863442,168.6745116
4.96,4.110768176,168.86345
4.97,4.099705835,169.0518155
4.98,4.088676332,169.2396099
4.99,4.077679581,169.4268349
5,4.066715499,169.6134922
5.01,4.055783997,169.7995835
5.02,4.044884992,169.9851104
5.03,4.034018397,170.1700747
5.04,4.023184127,170.354478
