time,h,v
2.41,0.003316987566,0.01112266797
2.42,0.002937714245,-0.08697733203
2.43,0.001577440925,-0.185077332
2.44,0.0004675814426,0.1509156284
2.45,0.001486237726,0.05281562839
2.46,0.00152389401,-0.04528437161
2.47,0.0005805502942,-0.1433843716
2.48,0.0005995866887,0.06238070069
2.49,0.0007328936956,-0.03571929931
2.5,7.380368272e-05,0.0788862513
2.51,0.0003721661957,-0.0192137487
2.52,0.0001407501898,0.03158013674
2.53,2.141141816e-05,0.03770585656
2.54,3.795326178e-05,0.01256386044
2.55,1.096026245e-05,0.00128388509
2.55,1.096026245e-05,0.00128388509
