time,x
3.49,1.019092154
3.5,1.014295816
3.51,1.009387702
3.52,1.004367925
3.53,0.9992366105
3.54,0.9939939008
3.55,0.9886399511
3.56,0.9831749309
3.57,0.9775990238
3.58,0.9719124277
3.59,0.9661153545
3.6,0.9602080303
3.61,0.9541906954
3.62,0.9480636042
3.63,0.9418270252
3.64,0.9354812412
3.65,0.929026549
3.66,0.9224632594
3.67,0.9157916974
3.68,0.9090122022
3.69,0.9021251268
3.7,0.8951308384
3.71,0.8880297183
3.72,0.8808221616
3.73,0.8735085776
3.74,0.8660893893
3.75,0.8585650337
3.76,0.8509359619
3.77,0.8432026385
3.78,0.8353655422
3.79,0.8274251654
3.8,0.8193820143
3.81,0.8112366086
3.82,0.8029894819
3.83,0.7946411814
3.84,0.7861922677
3.85,0.7776433153
3.86,0.7689949118
3.87,0.7602476584
3.88,0.7514021698
3.89,0.7424590739
3.9,0.7334190118
3.91,0.7242826381
3.92,0.7150506203
3.93,0.7057236392
3.94,0.6963023884
3.95,0.6867875749
3.96,0.6771799181
3.97,0.6674801507
3.98,0.6576890178
3.99,0.6478072776
4,0.6378357007
4.01,0.6277750702
4.02,0.6176261819
4.03,0.6073898439
4.04,0.5970668767
4.05,0.586658113
4.06,0.5761643977
4.07,0.5655865877
4.08,0.5549255522
4.09,0.5441821719
4.1,0.5333573398
4.11,0.5224519602
4.12,0.5114669494
4.13,0.500403235
4.14,0.4892617564
4.15,0.478043464
4.16,0.4667493198
4.17,0.4553802967
4.18,0.4439373789
4.19,0.4324215615
4.2,0.4208338504
4.21,0.4091752624
4.22,0.397446825
4.23,0.3856495761
4.24,0.3737845641
4.25,0.3618528478
4.26,0.3498554962
4.27,0.3377935885
4.28,0.3256682138
4.29,0.3134804711
4.3,0.3012314692
4.31,0.2889223266
4.32,0.2765541712
4.33,0.2641281406
4.34,0.2516453813
4.35,0.2391070494
4.36,0.2265143097
4.37,0.2138683361
4.38,0.2011703113
4.39,0.1884214267
4.4,0.175622882
4.41,0.1627758857
4.42,0.1498816542
4.43,0.1369414124
4.44,0.1239563929
4.45,0.1109278365
4.46,0.09785699145
4.47,0.08474511379
4.48,0.071593467
4.49,0.05840332187
4.5,0.04517595641
4.51,0.03191265569
4.52,0.01861471168
4.53,0.005283423135
4.54,-0.008079904577
4.55,-0.02147395959
4.56,-0.03489742369
4.57,-0.04834897248
4.58,-0.06182727552
4.59,-0.07533099647
4.6,-0.08885879321
4.61,-0.1024093181
4.62,-0.1159812179
4.63,-0.1295731342
4.64,-0.1431837034
4.65,-0.1568115569
4.66,-0.1704553213
4.67,-0.1841136185
4.68,-0.1977850657
4.69,-0.2114682759
4.7,-0.2251618579
4.71,-0.2388644164
4.72,-0.252574552
4.73,-0.2662908619
4.74,-0.2800119394
4.75,-0.2937363744
4.76,-0.3074627538
4.77,-0.3211896611
4.78,-0.3349156768
4.79,-0.348639379
4.8,-0.3623593428
4.81,-0.3760741408
4.82,-0.3897823437
4.83,-0.4034825196
4.84,-0.4171732348
4.85,-0.430853054
4.86,-0.4445205398
4.87,-0.4581742537
4.88,-0.4718127556
4.89,-0.4854346045
4.9,-0.4990383583
4.91,-0.5126225738
4.92,-0.5261858077
4.93,-0.5397266156
4.94,-0.5532435532
4.95,-0.5667351759
4.96,-0.5802000391
4.97,-0.5936366983
4.98,-0.6070437093
4.99,-0.6204196287
5,-0.6337630134
5.01,-0.6470724214
5.02,-0.6603464115
5.03,-0.6735835439
5.04,-0.6867823799
5.05,-0.6999414825
5.06,-0.7130594162
5.07,-0.7261347474
5.08,-0.7391660446
5.09,-0.7521518784
5.1,-0.7650908216
5.11,-0.7779814498
5.12,-0.7908223411
5.13,-0.8036120763
5.14,-0.8163492395
5.15,-0.8290324178
5.16,-0.8416602015
5.17,-0.8542311848
5.18,-0.8667439651
5.19,-0.8791971439
5.2,-0.8915893267
5.21,-0.9039191231
5.22,-0.916185147
5.23,-0.9283860168
5.24,-0.9405203555
5.25,-0.9525867911
5.26,-0.9645839563
5.27,-0.9765104892
5.28,-0.988365033
5.29,-1.000146236
5.3,-1.011852754
5.31,-1.023483245
5.32,-1.035036377
5.33,-1.046510821
5.34,-1.057905256
5.35,-1.069218367
5.36,-1.080448844
5.37,-1.091595387
5.38,-1.102656699
5.39,-1.113631494
5.4,-1.12451849
5.41,-1.135316414
5.42,-1.146024
5.43,-1.15663999
5.44,-1.167163133
5.45,-1.177592186
5.46,-1.187925916
5.47,-1.198163096
5.48,-1.208302508
5.49,-1.218342944
5.5,-1.228283201
5.51,-1.23812209
5.52,-1.247858426
5.53,-1.257491037
5.54,-1.267018758
5.55,-1.276440434
5.56,-1.28575492
5.57,-1.29496108
5.58,-1.304057789
5.59,-1.313043929
5.6,-1.321918397
5.61,-1.330680095
5.62,-1.339327939
5.63,-1.347860855
5.64,-1.356277778
5.65,-1.364577655
5.66,-1.372759444
5.67,-1.380822113
5.68,-1.388764643
5.69,-1.396586024
5.7,-1.40428526
5.71,-1.411861364
5.72,-1.419313361
5.73,-1.426640291
5.74,-1.433841201
5.75,-1.440915154
5.76,-1.447861224
5.77,-1.454678496
5.78,-1.461366068
5.79,-1.467923052
5.8,-1.47434857
5.81,-1.48064176
5.82,-1.486801769
5.83,-1.492827761
5.84,-1.498718908
5.85,-1.504474401
5.86,-1.51009344
5.87,-1.51557524
5.88,-1.520919029
5.89,-1.526124049
5.9,-1.531189555
5.91,-1.536114816
5.92,-1.540899117
5.93,-1.545541752
5.94,-1.550042034
5.95,-1.554399288
5.96,-1.558612853
5.97,-1.562682083
5.98,-1.566606345
5.99,-1.570385023
6,-1.574017515
6.01,-1.57750323
6.02,-1.580841597
6.03,-1.584032057
6.04,-1.587074065
6.05,-1.589967094
6.06,-1.592710629
6.07,-1.595304173
6.08,-1.597747241
6.09,-1.600039366
6.1,-1.602180094
6.11,-1.604168989
6.12,-1.606005628
6.13,-1.607689606
6.14,-1.609220531
6.15,-1.610598028
6.16,-1.611821738
6.17,-1.612891317
6.18,-1.613806437
6.19,-1.614566786
6.2,-1.615172068
